item_id,regular_price,sale_price,type
50696068,19.99,19.99,REGULAR
76151622,14.99,14.99,REGULAR
76151656,19.99,19.99,REGULAR
76151600,17.89,17.89,REGULAR
15361189,9.49,9.49,REGULAR
10266320,6.99,6.99,REGULAR
52119448,12.99,12.99,REGULAR
53334055,19.99,19.99,REGULAR
52133240,5.99,5.99,REGULAR
17073728,7.99,7.99,REGULAR
76151668,14.89,14.89,REGULAR
13464343,17.05,17.05,REGULAR
52141262,9.99,9.99,REGULAR
52120183,13.99,13.99,REGULAR
52702755,4.99,4.99,REGULAR
76431682,16.89,16.89,REGULAR
11247233,16.49,16.49,REGULAR
76161637,7.99,7.99,REGULAR
52693763,11.29,11.29,REGULAR
78804367,39.99,39.99,REGULAR
51093164,24.99,24.99,REGULAR
78168290,19.99,19.99,REGULAR
76151645,15.99,15.99,REGULAR
53352013,22.49,22.49,REGULAR
14866056,24.99,24.99,REGULAR
51093100,31.49,31.49,REGULAR
76151640,15.99,15.99,REGULAR
51232255,29.99,29.99,REGULAR
76151566,19.89,19.89,REGULAR
17073126,24.99,24.99,REGULAR
76151573,14.89,14.89,REGULAR
76151698,34.99,34.99,REGULAR
76179191,27.0,27.0,REGULAR
81287113,29.99,29.99,REGULAR
80395776,19.99,19.99,REGULAR
76180307,94.99,94.99,REGULAR
80784221,30.95,30.95,REGULAR
78670258,187.99,187.99,REGULAR
75552838,53.06,53.06,REGULAR
80159377,37.99,37.99,REGULAR
16719595,64.99,64.99,REGULAR
79896789,22.49,22.49,REGULAR
80386115,24.99,24.99,REGULAR
77401310,39.99,39.99,REGULAR
80272517,59.99,59.99,REGULAR
80272515,59.99,59.99,REGULAR
76466124,32.99,32.99,REGULAR
76466118,22.99,22.99,REGULAR
76400629,44.99,44.99,REGULAR
76400630,20.99,20.99,REGULAR
76400628,32.99,32.99,REGULAR
76466116,44.99,44.99,REGULAR
76400622,19.99,19.99,REGULAR
49140070,59.99,59.99,REGULAR
11676419,44.99,44.99,REGULAR
79342100,39.99,39.99,REGULAR
77837527,17.59,17.59,REGULAR
79134003,7.99,7.99,REGULAR
81013258,19.99,19.99,REGULAR
78287791,10.69,10.69,REGULAR
80868604,19.95,19.95,REGULAR
11630832,14.49,14.49,REGULAR
76954456,12.99,12.99,REGULAR
79132624,12.69,12.69,REGULAR
78801865,17.99,17.99,REGULAR
78144275,9.69,9.69,REGULAR
77171263,21.49,21.49,REGULAR
79658052,12.99,12.99,REGULAR
79680440,33.99,33.99,REGULAR
12973926,5.99,4.99,SALE
81008747,49.99,49.99,REGULAR
80982753,82.5,82.5,REGULAR
78658547,18.79,18.79,REGULAR
77524885,12.39,12.39,REGULAR
77049568,19.99,19.99,REGULAR
81048853,16.99,16.99,REGULAR
77865016,11.89,11.89,REGULAR
77917997,15.39,15.39,REGULAR
79266097,11.69,11.69,REGULAR
79486278,15.99,15.99,REGULAR
78151705,9.69,9.69,REGULAR
54269721,21.99,21.99,REGULAR
53241329,11.99,11.99,REGULAR
53437685,15.99,15.99,REGULAR
78327954,8.95,8.95,REGULAR
53241294,11.99,11.99,REGULAR
16965145,11.99,11.99,REGULAR
13507475,6.0,6.0,REGULAR
52297080,13.99,13.99,REGULAR
78259889,17.49,12.31,SALE
13025048,8.29,8.29,REGULAR
75564423,4.49,4.49,REGULAR
75666230,9.99,9.99,REGULAR
12992360,1.19,1.19,REGULAR
78308319,7.99,7.99,REGULAR
52893648,10.69,1.79,SALE
14694510,3.59,3.59,REGULAR
14710162,8.89,8.89,REGULAR
14230030,8.99,8.99,REGULAR
78327958,5.59,5.59,REGULAR
14694500,6.19,6.19,REGULAR
14763602,1.99,1.99,REGULAR
53241345,7.99,7.99,REGULAR
75564401,3.29,3.29,REGULAR
75564410,3.29,3.29,REGULAR
50631426,4.49,4.49,REGULAR
51201830,7.99,7.99,REGULAR
13821393,2.99,2.99,REGULAR
75563315,0.79,0.79,REGULAR
75664801,1.99,1.99,REGULAR
79389953,4.99,2.99,SALE
79389973,10.99,3.99,SALE
75564405,4.49,4.49,REGULAR
53413908,3.59,3.59,REGULAR
79389940,13.59,4.49,SALE
14477283,2.49,2.49,REGULAR
79389976,5.99,3.29,SALE
17079070,4.69,4.69,REGULAR
13933228,1.99,1.99,REGULAR
14612059,4.19,4.19,REGULAR
13315173,3.99,3.99,REGULAR
13163411,2.49,2.49,REGULAR
51952812,3.49,3.49,REGULAR
76078862,2.49,2.49,REGULAR
15511818,3.29,3.29,REGULAR
12856531,1.99,1.99,REGULAR
51952904,6.49,6.49,REGULAR
75666304,3.69,3.69,REGULAR
75663184,2.99,2.99,REGULAR
79389922,4.19,2.39,SALE
15744221,5.49,5.49,REGULAR
75661939,2.99,2.99,REGULAR
14775345,3.99,3.99,REGULAR
79389937,9.99,5.99,SALE
